data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7993281,231,ETH6788,6788,"21 May 2021",2021,1,"Violence against civilians",Attack,"Police Forces of Ethiopia (2018-) Oromo Regional Special Forces",,1,"Civilians (Ethiopia)","Students (Ethiopia)",7,17,"Eastern Africa",Ethiopia,Oromia,"West Shewa",Cheliya,Jarso,9.1097,37.3727,1,"Oromiya Media Network",International,"On 21 May 2021, Oromo regional special forces shot and killed an 11th grade student in Jarso woreda (West Wellega, Oromia). No further information.",1,1621889045,ETH
7992817,231,ETH6787,6787,"21 May 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)",,6,,,0,60,"Eastern Africa",Ethiopia,"Addis Ababa","Region 14",Lideta,"Addis Ababa",9.025,38.7469,1,"BBC News",International,"On 21 May 2021, protesters gathered in Addis Ababa to denounce foreign interference in Ethiopia's internal affairs. Slogans included 'Hands off Ethiopia'. [size=no report]",0,1621889044,ETH
7993003,231,ETH6785,6785,"20 May 2021",2021,1,Protests,"Excessive force against protesters","Protesters (Ethiopia)","Students (Ethiopia)",6,"Police Forces of Ethiopia (2018-)",,1,16,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Marawi Town","Mer Awi",11.4167,37.1667,2,"Deutsche Welle",International,"On 20 May 2021, police forces clashed with demonstrators, shouting anti-PP slogans, in Mer Awi woreda (West Gojam, Amhara). A pro-PP rally had been taking place at the same time. 4 students were killed and 12 others injured - with some sources claiming as many as 7 fatalities and 46 injuries. [size=no report]",4,1621889044,ETH
7993825,231,ETH6786,6786,"20 May 2021",2021,1,Battles,"Armed clash","Afar Ethnic Militia (Ethiopia)",,4,"Somali Ethnic Militia (Ethiopia)",,4,44,"Eastern Africa",Ethiopia,Somali,Siti,Shinile,Shinile,9.6881,41.8447,2,"Voss TV",Subnational,"On 20 May 2021, Afar militias attacked a Somali militia in Birta Dheer village and Tarayne in west of Sitti region [coded to Shinile] (Siti, Somali), sparking clashes. At least six people were killed and 25 others injured.",6,1621889046,ETH
7993278,231,ETH6784,6784,"19 May 2021",2021,1,"Violence against civilians",Attack,"Military Forces of Ethiopia (2018-)",,1,"Civilians (Ethiopia)","Pastoralists (Ethiopia)",7,17,"Eastern Africa",Ethiopia,Amhara,Oromia,"Jilye Tumuga",Senbete,10.3069,39.9885,2,"Oromiya Media Network",International,"On 19 May 2021, military forces in Jille Dumuga [coded as Senbete] (Oromia, Amhara) opened fire on cattle herders, killing 1. Event coded to ADM center,",1,1621889045,ETH
7993279,231,ETH6783,6783,"19 May 2021",2021,1,"Violence against civilians",Attack,"Police Forces of Ethiopia (2018-) Oromo Regional Special Forces",,1,"Civilians (Ethiopia)",,7,17,"Eastern Africa",Ethiopia,Oromia,"West Arsi",Kofele,Kofele,7.0773,38.7871,1,"Oromiya Media Network",International,"On 19 May 2021, a young man was reportedly shot and killed by Oromo regional special forces in Kofele (West Arsi, Oromia).",1,1621889045,ETH
7993280,231,ETH6781,6781,"19 May 2021",2021,1,"Violence against civilians",Attack,"Police Forces of Ethiopia (2018-) Oromo Regional Special Forces",,1,"Civilians (Ethiopia)",,7,17,"Eastern Africa",Ethiopia,Oromia,"West Wellega","Gudetu Kondole",Boji,9.4833,34.9167,2,"Oromiya Media Network",International,"On 19 May 2021, Oromo regional special forces shot and killed a man in Boji Birmaji woreda (West Wollega, Oromia).",1,1621889045,ETH
7993282,231,ETH6782,6782,"19 May 2021",2021,1,"Violence against civilians",Attack,"Military Forces of Ethiopia (2018-)",,1,"Civilians (Ethiopia)","Prisoners (Ethiopia)",7,17,"Eastern Africa",Ethiopia,Oromia,"West Wellega","Kiltu Kara","Guyoseto Kiltu Kara",9.6876,35.2159,2,"Oromiya Media Network",International,"On 19 May 2021, OLF-Shane supporters were arrested by security forces in the Guyoseto Kiltu Kara woreda area (west Wollegga, Oromia) and reportedly shot and killed while in custody. Unknown fatalities coded as 3.",3,1621889045,ETH
7993046,231,ETH6780,6780,"19 May 2021",2021,2,"Strategic developments",Agreement,"Government of Ethiopia (2018-)",,1,"Unidentified Ethnic Militia (Ethiopia)","Gumuz Ethnic Militia (Ethiopia)",4,14,"Eastern Africa",Ethiopia,Benshangul/Gumuz,Asosa,Assosa,Asosa,10.0667,34.5333,3,ESAT,International,"Agreement: Around 19 May 2021 (week of), the Benshangul/Gumuz regional government signed a peace agreement with members of the Gumuz armed group who are undergoing re-integration training in Benshangul/Gumuz. Location coded as the capital city, Asosa (Asosa Zone, Benshangul/Gumuz).",0,1621889044,ETH
7993048,231,ETH6778,6778,"18 May 2021",2021,1,Battles,"Armed clash","Police Forces of Ethiopia (2018-) Oromo Regional Special Forces",,1,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,12,"Eastern Africa",Ethiopia,Oromia,Guji,Liben,Liben,5.25,39.5,2,ESAT,International,"On 18 May 2021, Oromia police killed three members of Oromo Liberation Front (OLF)- Shane in Liben Woreda in Guji Zone (Oromia). One member of OLF-Shane surrendered with four Kalashnikov rifles.",3,1621889044,ETH
7993051,231,ETH6777,6777,"18 May 2021",2021,1,"Violence against civilians",Attack,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,"Civilians (Ethiopia)","Amhara Ethnic Group (Ethiopia)",7,27,"Eastern Africa",Ethiopia,Oromia,"Horo Gudru Wellega","Abe Dongoro","Abe Dongoro",9.6097,36.9331,2,ESAT,International,"On 18 May 2021, Oromo Liberation Front-Shane shot and killed three ethnic Amhara civilians, injured five people, and stole 20 cattle in Botoro Kebele in Abe Dongoro Woreda (Horo Gudru Wellega, Oromia).",3,1621889044,ETH
7993834,231,ETH6779,6779,"18 May 2021",2021,1,Battles,"Armed clash","Unidentified Armed Group (Ethiopia)",,3,"Police Forces of Ethiopia (2018-) Liyu Police","Police Forces of Ethiopia (2018-)",1,13,"Eastern Africa",Ethiopia,SNNP,"Bench Sheko","Semen Bench","Mizan Teferi",6.9833,35.5833,2,Xinhua,International,"On 18 May 2021, an unidentified armed group attacked police officers in Aybera and Kanka Kebeles of Bench Sheko zone (coded to Mizan Teferi, Bench Sheko, SNNPR), killing 3 regular police officers and 6 Special police officers, and wounding an additional three officers.",9,1621889046,ETH
