data_id,country,event_type,sub_event_type,fatalities,notes
8166147,Democratic Republic of Congo,Battles,Armed clash,0,"['adf', 'attacked', 'military', 'base', 'village', 'kokola', 'located', 'region', 'beni', 'nord', 'kivu', 'leading', 'soldier', 'flee', 'fatality', 'injury', 'reported', 'iscap', 'claimed', 'event']"
8059690,Somalia,Battles,Armed clash,1,"['two', 'group', 'government', 'police', 'force', 'clashed', 'raadeelka', 'village', 'neighborhood', 'mogadishu', 'daynile', 'district', 'banadir', 'one', 'police', 'officer', 'killed']"
8059708,Somalia,Battles,Armed clash,25,"['government', 'security', 'force', 'sna', 'clashed', 'al', 'shabaab', 'militant', 'ceel', 'bacad', 'village', 'bulo', 'burto', 'hiraan', 'twenty', 'five', 'militant', 'killed']"
8059742,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'attacked', 'government', 'security', 'force', 'sna', 'traveling', 'boat', 'coastline', 'gendershe', 'village', 'jilib', 'marca', 'village', 'marka', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059778,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'carried', 'attack', 'government', 'security', 'force', 'sna', 'base', 'saabid', 'village', 'afgooye', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059782,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'launched', 'attack', 'government', 'security', 'force', 'sna', 'base', 'bariirre', 'village', 'afgooye', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059793,Cameroon,Battles,Armed clash,0,"['military', 'force', 'repelled', 'attack', 'boko', 'haram', 'gwoues', 'village', 'dabanga', 'town', 'logone', 'birni', 'subdivision', 'logone', 'et', 'chari', 'extreme', 'nord', 'fatality', 'casualty', 'reported']"
8059804,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'launched', 'attack', 'government', 'security', 'force', 'sna', 'defensive', 'base', 'vicinity', 'awdheegle', 'village', 'afgooye', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8194973,Ethiopia,Battles,Armed clash,12,"['oromo', 'special', 'police', 'backed', 'endf', 'force', 'battled', 'oromo', 'liberation', 'army', 'olf', 'shane', 'force', 'guji', 'borana', 'zone', 'killing', 'militant', 'span', 'day', 'fatality', 'split', 'evenly', 'two', 'location', 'period', 'day', 'location', 'coded', 'adm', 'center', 'negele', 'town', 'guji', 'oromia']"
8059806,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'carried', 'attack', 'government', 'security', 'force', 'sna', 'defensive', 'base', 'bulo', 'mareer', 'village', 'marka', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8194976,Ethiopia,Battles,Armed clash,12,"['oromo', 'special', 'police', 'backed', 'endf', 'force', 'battled', 'oromo', 'liberation', 'army', 'olf', 'shane', 'force', 'guji', 'borana', 'zone', 'killing', 'militant', 'span', 'day', 'somali', 'regional', 'police', 'took', 'part', 'operation', 'borena', 'zone', 'fatality', 'split', 'two', 'location', 'period', 'day', 'location', 'coded', 'administrative', 'center', 'moyale', 'oromia']"
8059556,Nigeria,Battles,Armed clash,3,"['military', 'force', 'clashed', 'armed', 'individual', 'road', 'close', 'garin', 'naimaimai', 'village', 'near', 'sabo', 'birni', 'kware', 'lga', 'sokoto', 'group', 'moving', 'ammunition', 'niger', 'shoot', 'armed', 'individual', 'died', 'rpg', 'bomb', 'rpg', 'charger', 'gun', 'ammunition', 'seized']"
8059323,Mali,Battles,Armed clash,0,"['presumed', 'ansar', 'dine', 'jnim', 'militant', 'fired', 'mortar', 'shell', 'rocket', 'launched', 'assault', 'minusma', 'position', 'town', 'aguelhok', 'tessalit', 'kidal', 'peacekeeper', 'repelled', 'attack', 'casualty', 'damage', 'reported']"
8059596,Guinea,Battles,Armed clash,0,"['villager', 'bako', 'fadou', 'dabola', 'village', 'clashed', 'machete', 'tinti', 'oulen', 'sub', 'prefecture', 'kilometer', 'away', 'kankan', 'town', 'kankan', 'centre', 'kankan', 'land', 'dispute', 'people', 'injured']"
8069074,Mozambique,Battles,Armed clash,0,"['member', 'islamist', 'militia', 'quiterajo', 'macomia', 'cabo', 'delgado', 'clashed', 'mozambican', 'defense', 'security', 'force', 'fighting', 'appeared', 'part', 'government', 'offensive', 'position', 'member', 'islamist', 'militia', 'near', 'messalo', 'river', 'north', 'quiterajo', 'smoke', 'area', 'battle', 'seen', 'far', 'south', 'chilongo', 'mucojo', 'administrative', 'post', 'fatality', 'injury', 'reported']"
