data_id,country,event_type,sub_event_type,fatalities,notes
8059413,Zambia,Protests,Peaceful protest,0,"['doctor', 'gathered', 'university', 'teaching', 'hospital', 'lusaka', 'lusaka', 'lusaka', 'demonstration', 'demand', 'payment', 'wage', 'creation', 'position', 'senior', 'resident', 'medical', 'officer', 'registrar', 'consultant', 'recruitment', 'graduate', 'doctor', 'jobless', 'category', 'also', 'embarked', 'go', 'slow', 'strike', 'size', 'report']"
8059671,South Africa,Protests,Peaceful protest,0,"['group', 'blocked', 'north', 'south', 'melmoth', 'road', 'unspecified', 'mean', 'babanango', 'road', 'r', 'near', 'vryheid', 'zululand', 'kwazulu', 'natal', 'demonstration', 'motivation', 'demonstration', 'unknown', 'reported', 'size', 'report']"
8059418,Morocco,Protests,Peaceful protest,0,"['member', 'national', 'union', 'unemployed', 'graduate', 'morocco', 'andcm', 'held', 'protest', 'sit', 'front', 'ministry', 'solidarity', 'rabat', 'rabat', 'demand', 'unemployed', 'people', 'suffering', 'disability', 'benefit', 'job', 'opportunity', 'size', 'report']"
8059426,Tunisia,Protests,Peaceful protest,0,"['farmer', 'protested', 'beja', 'beja', 'nord', 'beja', 'denounce', 'increase', 'price', 'cattle', 'feed', 'size', 'report']"
8059437,Algeria,Protests,Peaceful protest,0,"['dozen', 'aadl', 'social', 'housing', 'program', 'subscriber', 'held', 'protest', 'sit', 'front', 'wilaya', 'guelma', 'guelma', 'denounce', 'location', 'site', 'assigned', 'delay', 'reception', 'apartment', 'size', 'dozen']"
8059444,Mauritania,Protests,Peaceful protest,0,"['around', 'reported', 'private', 'sector', 'worker', 'held', 'protest', 'sit', 'nouadhibou', 'nouadhibou', 'demand', 'increase', 'emolument', 'size', 'report']"
8059718,Algeria,Protests,Peaceful protest,0,"['dozen', 'aadl', 'social', 'housing', 'program', 'subscriber', 'jijel', 'held', 'protest', 'sit', 'front', 'ministry', 'housing', 'algiers', 'sidi', 'hamed', 'alger', 'bouzareah', 'denounce', 'location', 'site', 'assigned', 'absence', 'propriety', 'title', 'size', 'dozen']"
8059721,Nigeria,Protests,Peaceful protest,0,"['trade', 'union', 'member', 'civil', 'society', 'student', 'farmer', 'took', 'street', 'ikeja', 'ikeja', 'lga', 'lagos', 'demonstration', 'rising', 'insecurity', 'state', 'nigeria', 'labour', 'congress', 'alliance', 'surviving', 'coronavirus', 'beyond', 'joint', 'action', 'front', 'coalition', 'northern', 'group', 'green', 'alliance', 'nigeria', 'congo', 'edo', 'north', 'east', 'development', 'association', 'participated', 'event', 'size', 'report']"
8059726,South Africa,Protests,Peaceful protest,0,"['score', 'young', 'people', 'vaal', 'triangle', 'area', 'blocked', 'entrance', 'ceramic', 'company', 'vanderbijlpark', 'sedibeng', 'gauteng', 'demonstration', 'demand', 'job', 'factory', 'size', 'score']"
8069216,South Africa,Protests,Peaceful protest,0,"['parent', 'gathered', 'front', 'primary', 'school', 'wilsonia', 'buffalo', 'city', 'eastern', 'cape', 'demonstration', 'demand', 'closure', 'school', 'lack', 'safety', 'conducive', 'environment', 'teaching', 'learning', 'snake', 'found', 'school', 'size']"
8059250,Cameroon,Protests,Peaceful protest,0,"['kidney', 'patient', 'demonstrated', 'hospital', 'yaounde', 'city', 'yaounde', 'subdivision', 'mfoundi', 'centre', 'calling', 'authority', 'provide', 'adequate', 'dialysis', 'kit', 'size', 'report']"
8059763,Nigeria,Protests,Peaceful protest,0,"['student', 'university', 'gathered', 'okitipupa', 'okitipupa', 'lga', 'ondo', 'demonstration', 'persistent', 'robbery', 'attack', 'rape', 'student', 'size', 'report']"
8059772,Algeria,Protests,Peaceful protest,0,"['student', 'held', 'protest', 'tizi', 'ouzou', 'tizi', 'ouzou', 'th', 'student', 'hirak', 'protest', 'size', 'report']"
8059529,South Africa,Protests,Peaceful protest,0,"['pya', 'member', 'took', 'street', 'pretoria', 'city', 'tshwane', 'gauteng', 'demonstration', 'demand', 'removal', 'finance', 'minister', 'free', 'quality', 'education', 'job', 'youth', 'basic', 'income', 'grant', 'among', 'thing', 'size', 'report']"
8059530,South Africa,Protests,Peaceful protest,0,"['resident', 'marched', 'zithobeni', 'police', 'station', 'city', 'tshwane', 'gauteng', 'demonstration', 'crime', 'area', 'demand', 'fully', 'functioning', 'police', 'station', 'size', 'report']"
8166296,Ethiopia,Protests,Peaceful protest,0,"['demonstrator', 'denounced', 'imposition', 'united', 'state', 'sanction', 'ethiopia', 'front', 'embassy', 'united', 'state', 'america', 'addis', 'ababa', 'region', 'addis', 'ababa', 'size', 'report']"
8059293,Democratic Republic of Congo,Protests,Peaceful protest,0,"['member', 'sacred', 'union', 'political', 'party', 'several', 'woman', 'gathered', 'city', 'bukavu', 'bukavu', 'sud', 'kivu', 'protest', 'rwandan', 'president', 'denying', 'finding', 'mapping', 'report', 'united', 'nation', 'consequently', 'involvement', 'rwandan', 'army', 'committing', 'human', 'right', 'abuse', 'drc', 'group', 'demanded', 'justice', 'past', 'human', 'right', 'violation', 'size', 'report']"
8059550,Democratic Republic of Congo,Protests,Peaceful protest,0,"['worker', 'congo', 'dongfang', 'international', 'mining', 'cdm', 'company', 'protested', 'front', 'company', 'headquarters', 'outskirt', 'lubumbashi', 'lubumbashi', 'haut', 'katanga', 'demand', 'better', 'working', 'condition', 'including', 'higher', 'pay', 'safety', 'net', 'size', 'report']"
8059311,Malawi,Protests,Peaceful protest,0,"['cdedi', 'supporter', 'gathered', 'front', 'parliament', 'lilongwe', 'lilongwe', 'city', 'central', 'demonstration', 'relocation', 'refugee', 'dzaleka', 'camp', 'petition', 'delivered', 'committee', 'legal', 'affair', 'size', 'report']"
8059568,Malawi,Protests,Peaceful protest,0,"['transport', 'worker', 'gathered', 'mponela', 'police', 'station', 'dowa', 'central', 'demand', 'answer', 'case', 'attack', 'fellow', 'worker', 'kanthanga', 'village', 'size', 'report']"
8059329,Morocco,Protests,Peaceful protest,0,"['activist', 'held', 'protest', 'sit', 'front', 'tribunal', 'casablanca', 'casablanca', 'demand', 'liberation', 'journalist', 'omar', 'radi', 'souleimane', 'raissouni', 'size', 'report']"
